Last Traded Price (LTP),Last Traded Quantity,Volume,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Interest (OI),Previous Close Price,Previous Open Interest,expiry_date,strike_price,option_type,underlying,implied volatility,In the money
5450.25,0,0,5450.25,0,5450.25,0,0,0.0,50,31DEC26,16000.0,CE,MAINIDX,16.03,True
449.0,0,0,449.0,0,449.0,0,0,51.0,100,28MAR24,21000.0,CE,MAINIDX,16.54,False
1.95,65800,65800,1.9,41600,1.95,106250,2586700,16264.0,250700,06JUL23,19300.0,CE,MAINIDX,26.09,False
17.8,0,0,17.8,0,17.8,0,0,93.0,0,28DEC23,13000.0,PE,MAINIDX,25.97,False
8865.0,0,0,8948.5,25,9026.04,25,0,28.0,2550,27JUL23,35000.0,CE,ALLBANKS,,True
633.04,225,225,636.9,50,638.9,75,60575,146.5,11225,27JUL23,44200.0,PE,ALLBANKS,13.5,True
868.95,700,700,866.65,50,868.5,125,21975,402.25,18625,06JUL23,43200.0,CE,ALLBANKS,27.16,True
10.0,0,0,10.0,0,10.0,0,0,82.5,0,20JUL23,16750.0,PE,MAINIDX,26.07,False
38.65,800,800,38.75,850,38.85,50,127050,523.0,26350,27JUL23,17950.0,PE,MAINIDX,12.85,False
1360.0,0,0,1360.0,0,1360.0,0,0,20.0,0,25DEC25,22000.0,CE,MAINIDX,14.87,False
150.94,75,75,151.44,750,152.15,375,32575,109.75,5950,27JUL23,42600.0,PE,ALLBANKS,14.95,False
2483.8,0,0,2385.0,100,2451.1,100,0,69.0,6900,06JUL23,41600.0,CE,ALLBANKS,62.57,True
252.2,0,0,238.4,100,368.4,375,0,35.75,375,20JUL23,43400.0,PE,ALLBANKS,14.42,False
277.3,0,0,277.3,0,277.3,0,0,18.5,0,25JUN26,15000.0,PE,MAINIDX,17.79,False
960.6,0,0,1031.59,1100,1120.15,150,0,31.5,2225,20JUL23,45000.0,PE,ALLBANKS,8.14,True
200.05,0,0,200.05,0,200.05,0,0,27.5,0,25DEC25,15000.0,PE,MAINIDX,16.82,False
624.0,0,0,605.45,40,608.85,40,4640,330.0,12280,04JUL23,18800.0,CE,FINANCIALS,,True
24.45,13825,13825,24.3,600,24.45,3125,348275,1678.75,29425,06JUL23,42700.0,PE,ALLBANKS,28.08,False
1574.7,0,0,1622.55,1500,1840.35,1500,0,60.5,6050,27JUL23,16850.0,CE,MAINIDX,,True
21.2,0,0,21.5,600,21.9,500,7300,248.0,9150,20JUL23,17900.0,PE,MAINIDX,13.51,False
